operator,operator_address,date_established,families_served,Longtitude,Latitude
Silangan Lias MPC,"Brgy. Silangan Lias, Barlig, Mountain Province",2/10/2010,-,121.13845,17.14557
Eastern Bontoc National Agricultural and Vocational High School (EBNAVHS) Teachers and Employees Consumers Cooperative ,"Brgy. Lingoy, Barlig, Mountain Province",2/10/2010,30,121.09288,17.05371
Saint Williams MPC,"Brgy. Butigue, Paracelis, Mountain Province",3/12/2012,-,121.43899,17.10943
Silangan Lias MPC,"Brgy. Silangan Lias, Barlig, Mountain Province",2/10/2010,350,121.13845,17.14557
BLGU/Bansa Balicog FarmersÍ Association,"Monamon Norte, Bauko, Mountain Province",9/21/2011,500,120.88858,16.90742
Bacdangan MPC,"Brgy. Sinto, Bauko, Mountain Province",4/17/2012,-,120.86553,16.85567
"Zumayngan Indigenous Farmers Association and Development, Inc.","Brgy. Talubin, Bontoc, Mountain Province",7/1/2011,450,120.9955,17.06024
Kapangan Central Consumers Cooperative ,"Central, Kapangan, Benguet",12/17/2009,337,120.59687,16.57519
Sagubo MPC,"Sitio Landing, Brgy. Sagubo, Kapangan, Benguet",12/17/2009,319,120.55141,16.59774
Gadang ARC MPC,"Keyang, Gadang, kapangan, Benguet",9/16/2008,312,120.58175,16.59553
San Ramon MPC,"Brgy. San Ramon West, Manabo, Abra",3/1/2009,3910,120.66919,17.39829
Green Gold RIC,"Twin Peaks, Tuba, Benguet",1/27/2010,1799,120.57201,16.2782
Pagala West WomenÍs Association,"Brgy. Pagala, Bucay, Abra",12/27/2011,350,120.70312,17.57332
Kayabang MPC,"Monglo, Bayabas, Sablan, Benguet",1/27/2010,135,120.50109,16.47754
MLGU,"Brgy. Cabaruan, Danglas, Abra",7/10/2008,200,120.66915,17.70552
Timpuyog Ti  Inna RIC,"Brgy. Salnec, Bucay, Abra",4/12/2012,-,120.64271,17.50818
Brgy. Banengbeng Bagsakan Consumers Cooperative,"Brgy. Banengbeng, Sablan, Benguet",1/1/2010,210,120.55967,16.494
Luba WomenÍs Federation for Peace and Development,"Poblacion, Luba, Abra",6/9/2010,1196,120.7167,17.2878
LGU,"Brgy. Poblacion, Natonin, Mountain Province",2/19/2009,1316,121.40226,17.21708
Gusaran MPC,"Gusaran, Kabayan, Benguet",12/1/2010,288,120.83128,16.65253
BLGU,"Brgy. Alunogan, Natonin, Mountain Province",2/15/2012,425,121.26861,17.07822
LGU-Adaoay,"Kinejang, Adaoay, Kabayan, Benguet",12/2/2010,130,120.83428,16.57599
Tubo CLC-ARB MPC,"Brgy. Supo, Tubo, Abra",6/16/2010,4353,120.6832,17.26125
Dagopan MPC,"Brgy. Poblacion, Natonin, Mountain Province",5/1/2011,1316,121.40226,17.217079
BLGU,"Brgy. Caba, Lagawe, Ifugao",3/10/2009,465,121.13942,16.78875
Bashoy Farmers Association Consumers Cooperative,"Lebeng, Bashoy, Kabayan, Benguet",3/15/2012,963,120.84783,16.57645
"Balococ,  Cashet, Tabu, Langag MPC","Balococ, Dalupirip, Itogon, Benguet",6/17/2010,500,120.72385,16.34302
Municipality of Pilar Officials and Employees MPC,"Pilar Municipal Hall Annex, Pilar, Abra",7/9/2008,300,-47.79196,-23.78499
Itogon Government Employees MPC,"Poblacion, Itogon, Benguet",7/27/2010,255,120.69393,16.41047
MLGU,"Brgy. 3 Poblacion, Dolores, Eastern Samar",-,-,125.44862,11.12132
San Roque Farmers and Displaced Workers Multi-Purpose Cooperative,"Brgy. Forest Drive Village No.1, San Roque, Bislig City, Surigao del Sur ",7/25/2008,2754,126.24308,8.24907
"Sto. Nio, Pontod, Pong-onm Hornasan Multi-Purpose Cooperative","Brgy. Sto. Nino, San Agustin, Surigao del Sur",3/11/2010,200,126.23522,8.76465
Rizal  Multi-Purpose Cooperative (new operator),"Brgy. Rizal, San Francisco, Agusan del Sur",3/31/2010,130,125.84646,8.49827
Barobo Taboan VendorsÍ Association (BATAVA),"Poblacion, Barobo, Surigao del Sur",4/23/2008,1350,126.11588,8.54011
Municipal Agriculture Office,"Brgy. Bad-as, Placer, Surigao del Norte",4/8/2009,131,125.56657,9.63714
Balangayan Butuan Cooperative,"Brgy. Pagatpatan, Butuan City, Agusan del Norte",3/26/2008,958,125.52625,8.99454
Patin-ay Multi-Purpose Cooperative,"Brgy. Patin-ay, Prosperidad, Agusan del Sur",1/19/2010,2310,125.93368,8.56045
Aclan Coconut FarmersÍ Multi-Purpose Cooperative,"Brgy. Aclan, Nasipit, Agusan del Norte",2/9/2011,700,125.30895,8.94094
Municipal Agriculture Office,"Brgy. Poblacion, Malimono, Surigao del Norte",6/27/2011,110,125.40223,9.62321
Manila de Bugabos Multi-Purpose Cooperative,"Brgy. Sto. Cruz, Butuan City, Agusan del Norte",7/26/2011,80,125.53233,8.94789
Marcelina WomenÍs Cooperative,"Brgy. Marcelina, Bayugan City, Agusan del Sur",6/20/2008 (re-opened 12/4/2011),150,125.7637,8.6993
San Roque Rural Improvement Club,"Brgy. San Roque, Madrid, Surigao del Sur",12/15/2010,170,125.93068,9.23488
Brgy. Council,"Brgy. Mabuhay, Prosperidad, Agusan Del Sur",4/29/2010,450,125.98359,8.68916
Lusiama IrrigatorsÍ Association,"Brgy. Lucena, Prosperidad, Agusan del Sur",7/27/2011,187,125.88482,8.57145
Lumbocan HomeownersÍ Integrated Cooperative,"Brgy. Lumbocan, Butuan City, Agusan del Norte",10/18/2008 (re-opened 10/11/2011),100,125.50876,9.00606
Brgy. Council,"Brgy. Diatagon, Tago, Surigao del Sur",-,120,126.21558,9.03559
Kitcharao Agusan del Norte ProducersÍ Corporation,"Poblacion, Kitcharao, Agusan del Norte",4/20/2010,954,125.58016,9.45563
"Crossing Luna, Beawan, Esperanza Vegetable ProducersÍ  Multi-Purpose Cooperative","Brgy. Crossing Luna, Esperanza, Agusan del Sur",3/25/2010,4000,125.67045,8.66479
Malambu-on Multi-Purpose Cooperative,"Brgy. Del Monte, Talacogon, Agusan del Sur",11/11/2011,500,125.82452,8.45029
Dumalagan Multi-Purpose Cooperative,"BFT Poblacion, Socorro, Siargao Island, Surigao Del Norte",11/18/2011,500,125.95408,9.60016
Castillo Village Rural Improvement Club,"Brgy. Castillo Village, Bislig City, Surigao del Sur",4/29/2010,1150,126.284775,8.210056
Amag FarmersÍ Organization,"Brgy. Amag, Bayabas, Surigao del Sur",12/15/2010,300,126.268508,8.941965
Esperanza FarmersÍ Credit Cooperative,"Brgy. Rizal, Santa Monica, Siargao Island, Surigao del Norte",4/15/2010,300,126.040013,10.032589
Municipal Government of Del Carmen ,"Poblacion, Del Carmen, Siargao Island, Surigao del Norte",4/1/2011,-,125.963745,9.625122
Soccoro Empowered PeopleÍs Cooperative,"Brgy. Poblacion, Socorro, Siargao Island, Surigao del Norte",3/20/2010,2500,125.963745,9.625122
Manapa Marketing and ConsumersÍ Association (new operator),"Brgy. Manapa, BuenaviSto., Agusan del Norte",10/17/2008,105,125.450005,8.978167
General Luna First Community Development Organization,"Brgy. Poblacion 3, General Luna, Siargao Island, Surigao del Norte",4/15/2010,500,126.167125,9.806877
Bunga Samahang Nayon,"Brgy. Bunga, Lanuza, Surigao del Sur",3/27/2010,405,126.073608,9.243093
Esperanza FarmersÍ Credit Cooperative,"Brgy.Esperanza, Del Carmen, Siargao Island, Surigao del Norte",4/15/2010,210,126.014523,9.864163
Tangbo WomenÍs Association,"Brgy. Tangbo, Sto. Monica, Siargao Island, Surigao del Norte",5/4/2010,50,126.046,9.84819
Brgy. Council,"Brgy. Consuelo, Bunawan, Agusan del Sur",4/27/2010,540,126.053696,8.168673
Burboanan ReforeSto.tion FarmersÍ Association,"Brgy. Burboanan, Bislig City, Surigao del Sur",4/23/2008,700,126.284843,8.210811
BLGU _ Brgy. Council,"Brgy. Bunga, Lanuza, Surigao del Sur",3/27/2010,405,126.073608,9.243093
BLGU _ Brgy. Council,"Mlang, North Cotabato",8/20/2010,2543,124.906551,6.938217
BLGU _ Brgy. Council,"President Quirino, Sultan Kudarat",4/13/2008,3492,124.740929,6.725584
BLGU _ Brgy. Council,"President Quirino, Sultan Kudarat",8/10/2010,2876,124.740929,6.725584
KALIPI WomenÍs Association,"Polomolok, South Cotabato",11/15/2010,2708,125.060841,6.224513
Sto. Teresita Bagong Sibul Association,"Sto. Nino, South Cotabato",7/8/2010,2371,124.674441,6.437151
Katipunan KALIPI WomenÍs Association,"Sto. Nino, South Cotabato",12/21/2010,3046,124.674441,6.437151
KALIPI WomenÍs Association,"Polomolok, South Cotabato",11/5/2007,2190,124.751981,6.319496
BLGU _ Brgy. Council,"Surallah, South Cotabato",10/1/2010,3710,125.060841,6.224513
BLGU _ Brgy. Council,"President Quirino, Sultan Kudarat",10/19/2009,2125,124.740929,6.725584
TIWA (Tapon Indigenous Women Association),"Glan, Sarangani Province",5/7/2009,2995,125.346625,5.760038
Nicaan Consortium of MRDP,"Libungan, North Cotabato",1/26/2009,1793,124.530684,7.316374
Landan Makabayan Magsasaka Cooperative,"Polomolok, South Cotabato",1/20/2010,4186,124.751981,6.319496
Muslim Lumad Christian Marketing Cooperative,"Aleosan, North Cotabato",10/20/2009,3295,124.630337,7.188938
Ulamian Vegetables Association,"Libungan, North Cotabato",10/9/2009,2678,124.530684,7.316374
BLGU _ Brgy. Council,"Maitum, Sarangani Provnce",7/21/2010,1882,124.486357,6.124081
"Dept. of Agriculture, Balindog Employees Association, DABEA","Kidapawan City, North Cotabato",7/8/2009,1500,125.091134,7.010607
BLGU _ Brgy. Council,"Midsayap, North Cotabato",9/28/2009,2968,124.530684,7.133551
Makilala Vegetables Farmers Multi-purpose Cooperative,"Makilala, North Cotabato",9/3/2010,2530,125.082859,6.923432
BLGU _ Brgy. Council,"Maitum, Sarangani Provnce",9/8/2010,7719,124.486357,6.124081
BLGU _ Brgy. Council,"Maitum, Sarangani Provnce",5/17/2009,4980,124.486357,6.124081
BLGU _ Brgy. Council,"Malapatan, Sarangani Province",10/2/2010,7875,125.285378,5.966339
BLGU _ Brgy. Council,"Maitum, Sarangani Provnce",5/5/2009,3526,124.486357,6.124081
RIC Tambilil,"Kiamba, Sarangani Provnce",5/6/2009,3018,124.641403,6.023393
Rural Improvement Club,"Kiamba, Sarangani Provnce",10/28/2010,5347,124.641403,6.023393
Katubao Tribal Community Multi-Purpose Cooperative,"Kiamba, Sarangani Provnce",9/23/2010,7361,124.641403,6.023393
BLGU _ Brgy. Council,"Kiamba, Sarangani Provnce",12/11/2009,3494,124.641403,6.023393
BLGU _ Brgy. Council,"Kiamba, Sarangani Province",12/8/2010,1500,124.641403,6.023393
BLGU _ Brgy. Council,"Glan, Sarangani Province",11/12/2009,2521,125.346625,5.760038
BLGU _ Brgy. Council,"Glan, Sarangani Province",11/11/2009,3000,125.346625,5.760038
BLGU _ Brgy. Council,General Santos City,4/12/2010,11812,125.171618,6.116386
Rosary Heights 8 KALIPI,"Notre Dame Village, Cotabato City",5/7/2011,4145,124.24321,7.190049
BLGU _ Brgy. Council,Cotabato City,12/13/2010,2433,124.242304,7.188335
Pansacala Vendors Association,Cotabato City,8/30/2008 (re-opened 2/26/2012),2300,124.242304,7.188335
BLGU _ Brgy. Council,"Malungon, Sarangani Province",12/14/2010,1550,125.258796,6.334303
Luhong Integrated Farmers Association,"Antipas, North Cotabato",11/6/2009,3100,125.060841,7.269984
BLGU _ Brgy. Council,"Malungon, Sarangani Province",12/14/2010,1550,125.258796,6.334303
BLGU _ Brgy. Council,"Antipas, North Cotabato",7/9/2010,1542,125.060841,7.269984
BLGU _ Brgy. Council,"Magpet, North Cotabato",7/31/2010,1747,125.170874,7.1332
City Food Terminal Multipurpose Cooperative (CCFTEMCO),"Bula, General Santos City",-,2708,125.195612,6.105264
FarmerÍs Association of Poblacion Mapet,"Magpet, North Cotabato",8/6/2008,3180,125.060841,7.269984
Advocate of Magpet for Transformation and Integrated Development Association,"Magpet, North Cotabato",11/13/2009,2055,125.060841,7.269984
BLGU _ Brgy. Council,"Pikit, North Cotabato",7/2/2010,2061,124.92861,7.208753
BLGU _ Brgy. Council,"Matalam, North Cotabato",10/20/2009,2705,124.61927,7.053144
BLGU _ Brgy. Council,Pikitm North Cotabato,9/24/2009,3384,124.92861,7.208753
BLGU _ Brgy. Council,"Mlang, North Cotabato",8/20/2010,2543,124.906551,6.938217
BLGU _ Brgy. Council,"Tacurong City, Sultan Kudarat",12/3/2009,2784,124.678774,6.687966
BLGU _ Brgy. Council,"Tacurong City, Sultan Kudarat",11/27/2009,2049,124.678774,6.687966
"Brgy. Dukay, RIC","Esperanza, Sultan Kudarat",4/11/2008,2888,124.544875,6.698899
OFW and Beneficiaries Association,"Isulan, Sultan Kudarat",9/9/2008,4987,124.597814,6.632264
BLGU _ Brgy. Council,"Lambayong, Sultan Kudarat",7/6/2010,2647,124.630697,6.807812
"KALIPI, Kalipunan ng Lipunang Pilipina","Isulan, Sultan Kudarat",7/20/2010,2531,124.597814,6.632264
BLGU _ Brgy. Council,"Bagumbayan, Sultan Kudarat",12/17/2008 (transferred location 6/12/2009),1808,124.563056,6.533026
 Tamugan WomenÍs RIC (TAWORIC),"Brgy. Tamugan, Marilog, Davao City",7/23/2010,235,125.3906,7.251051
B-LGU,"Brgy. Mabuhay, Bansalan, Davao del Sur",10/23/2008,400,125.217,6.78333
San Isidro Multi-Purpose Cooperative,"Brgy. San Isidro, Magsaysay, Davao Del Sur",9/8/2008,310,125.145284,6.789241
 B-LGU,"Brgy. Manga, Matanao, Davao del Sur",9/23/2010,490,125.196772,6.679099
Conservation Farming  Villages Farmers Association,"Brgy.  Mabunao, Panabo City, Davao Del Norte",12/15/2009,335,125.68412,7.308707
BLGU,"Brgy. Malativas Panabo City, Davao Del Norte",12/9/2008,470,125.690303,7.293904
SEAK ( Self Employment AssiSto.nce Kaunlaran )Womens,"Brgy. Balagunan, Sto. Tomas, Davao Del Norte",12/8/2010,350,125.632102,7.47801
SinadÍbadan Kag Tugallan Sebulan Cityside Cooperative,"Brgy. Buda, Toril District, Davao City",12/8/2009,80,125.26978,7.5336
 Malawanit Farmers MPC,"Brgy. Malawanit, Magsaysay, Davao del Sur",9/19/2008,4002,125.676729,7.372655
 Catumbal Fisherfolk and Mudcrab Multi Purpose Coop.,"Purok Catumbal, Brgy. La Paz, Carmen, Davao Del Norte",7/20/2010,420,125.676729,7.372655
Panabo Vegetable Growers Association,"Brgy.  Sto. Nino Panabo City, Davao Del Norte",8/6/2010,1033,125.684118,7.308707
Pasig Agrarian Reform Beneficiaries and Upland Farmers MPC,"Brgy. Pasig, Kiblawan, Davao del Sur",5/26/2011,390,125.512731,7.341669
 Buda FarmerÍs Cooperative (BFC),"Brgy. Buda, Marilog District, Davao City",7/16/2009,64,125.236692,7.520174
Brgy. Panalum RIC (Women),"Brgy. Panalum, Paquibato District, Davao Oriental",3/9/2009,40,125.494624,7.335756
B-LGU,"Brgy. Kiba-o, Matanao, Davao del Sur",7/13/2010,270,125.238132,6.753175
Bacungan  Farmers MPC,"Brgy. Bacungan, Magsaysay, Davao del Sur",9/17/2008,670,125.154378,6.750562
San Roque FarmerÍs Multi-purpose Cooperative ,"Brgy. Baracatan, Toril District, Davao City",11/18/2009,280,125.427979,6.971891
San Isidro MPC,"Brgy. San Isidro, Malalag, Davao del Sur",8/6/2009,385,125.399008,6.596076
Kinuskusan MPC,"Brgy. Kinuskusan, Bansalan, Davao del Sur",7/30/2008,225,125.168168,6.859334
"Bolton Coconut Farmers, Multipurpose Cooperative","Brgy. Bolton, Malalag, Davao del Sur",12/16/2009,450,125.398979,6.597255
Mabini Agro-Forestry Farmers Development Cooperative,"Brgy. Mabini, Malalag, Davao del Sur",12/14/2009,270,125.398979,6.597937
New Baclayon MPC,"Brgy. New Baclayon, Malalag, Davao del Sur",8/6/2009,860,125.368703,6.582536
 St. Michael MPC,"Brgy. Kasuga, Magsaysay, Davao del Sur",10/6/2009,930,125.182582,6.73033
Sitio Alo Farmers MPC,"Sitio Alo, brgy. Darapuay, Bansalan, Davao del Sur",10/21/2008,1130,125.201108,6.897682
Brgy. Talaguton Food Terminal Association,"Brgy. Talaguton, Don Marcelion, Davao del Sur",2/26/2011,125,125.662186,6.259516
Tinungtungan MPC,"Brgy. Tinuntungan, Bansalan, Davao del Sur",11/27/2008,559,125.205566,6.79085
B-LGU,"Brgy. Upper Bala, Magsaysay, Davao del Sur",10/24/2008,500,125.139092,6.808986
Anagasi Farmers Multipurpose Cooperative ,"Sitio Anagasi Brgy. Casoon, Monkayo Compostela Valley",11/15/2011,442,125.980553,7.839667
B-LGU,"Brgy. Managa, Bansalan, Davao del Sur",10/30/2008,300,125.238132,6.753175
B-LGU,"Brgy. Managa, Bansalan, Davao del Sur",10/30/2008,300,125.238132,6.753175
Lower Marber Irrigators Cooperative,"Brgy. New Clarin, Bansalan, Davao del Sur",11/14/2008,-,125.195506,6.789476
Haguimitan Integrated Cooperative (HICO),"Purok 1 Haguimitan Monkayo, Compostela Valley",12/7/2010,993,126.067429,7.84863
Dynamic Vegetable Growers Association ,"Purok 4, Matina Biao, Davao City",3/4/2010,10000,125.53957,7.138793
Pasian Livelihood Ladies Cooperative ,"Purok 1A Pasian Monkayo, Compostela Valley",11/1/2011,10000,126.076477,7.924216
Nabok Development Cooperative,"Nabok, Monkayo, Compostela Valley",5/28/2011,1147,126.100211,7.746171
Rizal United Farmers Communal Irrigators Association,"Brgy. Rizal, Monkayo, Compostela Valley",5/28/2011,976,126.121947,7.889409
San Isidro Samahang Nayon PrimaryMultipurpose Cooperative,"San Isidro,Nabunturan, Compostela Valley",9/1/2010,250,125.965242,7.603537
B-LGU,"Brgy. Ban-ao,  Baganga Davao Oriental",7/27/2010,922,126.537094,7.633075
BFT Lamiawan FarmersÍ Vendors Association,"Brgy. Lamiawan, Caraga, Davao Oriental",3/5/2010,432,126.541901,7.31752
B-LGU,Brgy. San Jose Caraga Davao Oriental,9/1/2010,805,126.541901,7.31752
San Isidro Multi-Purpose Farmers Association,Brgy. San Isidro Baganga Davao Oriental,12/10/2009,2376,126.537094,7.633075
B-LGU,Brgy. Mahan-ub Baganga Davao Oriental,1/27/2010,942,126.537094,7.633075
Badian Resource Development MPC (BREVAMCO)  ,"Brgy. Banhigan, Badian, Cebu ",10/28/2011,2833,123.526607,9.865569
Brgy. LGU ,"Brgy. Rizal, Pilar, Bohol ",8/8/2010,1330,124.33255,9.836442
Alcantara Government Workers MPC ,"Brgy. Poblacion, Alcantara,Cebu ",7/28/2009,2464,123.404509,9.97095
Brgy. LGU ,"Brgy. San Isidro, San Fernando, Cebu ",2/21/2012,10987,123.721453,10.176323
Brgy. LGU ,"Brgy. Balud, San Fernando, Cebu  ",9/8/2011,5417,123.694825,10.14816
ALTAMCO (Alang sa Tanan MPC) ,"Brgy. Olo, Siquijor ",7/21/2009,4655,123.551808,9.215145
Cambinocot Multi-Purpose Cooperative ,"Brgy. Cambinocot, Cebu City ",10/10/2015,159762,123.902511,10.465623
MLGU thru MAO Rene Amores ,"Brgy. Poblacion, San Jose, Negros Oriental ",4/13/2011,3450,123.240538,9.412797
Cadena De Amor Rural Improvement Club ,"Brgy. Talisay, Daan Bantayan, Cebu City ",7/8/2009,14651,124.055789,11.244905
Catibes II Guba Farmers Association ,"Brgy. Mambaling, Cebu City ",8/26/2009,2500,123.879517,10.287282
Little Salvacion MPC ,"Brgy. Candaping, Maria, Siquijor ",3/9/2011,2595,123.658135,9.163537
Kalubihan Riverside MPC (KARIMCO) ,"Brgy. Sambag II, Cebu City ",12/7/2007,16543,123.890657,10.305902
MLGU ,"Brgy. Poblacion, Guindulman, Bohol ",3/25/2011,6471,124.494086,9.819195
BLGU ,"Brgy. Camangki, Enrique Villanueva, Siquijor ",11/12/2010,1176,123.636909,9.265457
Active Beginners Club ,"Brgy. North Poblaciong, Larena, Siquijor ",11/11/2011,1800,123.590995,9.24915
